sentence,relation,label,entity1,entity2,sentence_without_tags,split
"With the knife at a 10- to 25-degree angle to the steel, he hold the steel rod steady and drew the <e1>knife</e1> <e2>blade</e2> down the steel.","Component-Whole (e2, e1)",3,knife,blade,"With the knife at a 10- to 25-degree angle to the steel, he hold the steel rod steady and drew the knife blade down the steel.",train
"Marcus stabs one of the attackers with a screwdriver and we see the impact, as well as the <e1>victim</e1> painfully removing the <e2>screwdriver</e2>.","Entity-Origin (e2, e1)",9,victim,screwdriver,"Marcus stabs one of the attackers with a screwdriver and we see the impact, as well as the victim painfully removing the screwdriver.",train
Virgin Galactic is determined to send <e1>folks</e1> into <e2>space</e2>.,"Entity-Destination (e1, e2)",6,folks,space,Virgin Galactic is determined to send folks into space.,train
A <e1>tablet</e1> was given to <e2>patients</e2> to relieve extreme conditions of discomfort.,"Entity-Destination (e1, e2)",6,tablet,patients,A tablet was given to patients to relieve extreme conditions of discomfort.,train
This <e1>skirt</e1> was sitting in a <e2>bin</e2> in my garage.,"Content-Container (e1, e2)",4,skirt,bin,This skirt was sitting in a bin in my garage.,train
"Furthermore, many <e1>journals</e1> publishing <e2>biomedical research</e2> demand formal ethical clearance.","Message-Topic (e1, e2)",14,journals,biomedical research,"Furthermore, many journals publishing biomedical research demand formal ethical clearance.",train
"The <e1>laws</e1> apply to the <e2>play</e2>, officiating, equipment and procedures of the sport.","Message-Topic (e1, e2)",14,laws,play,"The laws apply to the play, officiating, equipment and procedures of the sport.",train
"The <e1>trucks</e1> are comprised of smaller <e2>parts</e2>, including axles, bushings and kingpins.","Component-Whole (e2, e1)",3,trucks,parts,"The trucks are comprised of smaller parts, including axles, bushings and kingpins.",train
"The elderly found it hard to cope with the high heat-humidity, which often causes nausea and <e1>dizziness</e1> from exhaustion and <e2>dehydration</e2>.","Cause-Effect (e2, e1)",1,dizziness,dehydration,"The elderly found it hard to cope with the high heat-humidity, which often causes nausea and dizziness from exhaustion and dehydration.",train
The story put <e1>wine</e1> in a <e2>positive health light</e2> and pointed out that it was superior to other foods in that particular regard.,Other,18,wine,positive health light,The story put wine in a positive health light and pointed out that it was superior to other foods in that particular regard.,train
Cylindrical <e1>defects</e1> in the trochanter area of 18 rabbit femora were filled with BG <e2>granules</e2>.,"Content-Container (e2, e1)",5,defects,granules,Cylindrical defects in the trochanter area of 18 rabbit femora were filled with BG granules.,train
Two attributes have carried Meraki <e1>networks</e1> into Amazonian <e2>towns</e2>.,"Entity-Destination (e1, e2)",6,networks,towns,Two attributes have carried Meraki networks into Amazonian towns.,train
A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,"Cause-Effect (e2, e1)",1,recurrence,radiation,A neoplastic recurrence arose from an extensive radiation induced ulceration.,train
"Be careful, because just one little clove imparts a terrific amount of spice to a <e1>bottle</e1> full of <e2>rum</e2>.","Content-Container (e2, e1)",5,bottle,rum,"Be careful, because just one little clove imparts a terrific amount of spice to a bottle full of rum.",train
"Under a giant silk <e1>cocoon</e1> created by an army of <e2>caterpillars</e2>, the shape of a Honda is just about visible.","Product-Producer (e1, e2)",16,cocoon,caterpillars,"Under a giant silk cocoon created by an army of caterpillars, the shape of a Honda is just about visible.",train
Typhoon was a dapple-gray <e1>gelding</e1> with small splashes of brown around his <e2>nuzzle</e2> and his hind end.,"Component-Whole (e2, e1)",3,gelding,nuzzle,Typhoon was a dapple-gray gelding with small splashes of brown around his nuzzle and his hind end.,train
Ten years ago an Indian <e1>academic</e1> knocked a <e2>hole</e2> through the wall of his laboratory so that children in the adjoining slum could play on one of his computers.,"Product-Producer (e2, e1)",17,academic,hole,Ten years ago an Indian academic knocked a hole through the wall of his laboratory so that children in the adjoining slum could play on one of his computers.,train
"The <e1>pollen</e1> is derived from a podocarp/broadleaved <e2>forest</e2>, which probably. covered both the alluvial flats and sides of the valley.","Entity-Origin (e1, e2)",8,pollen,forest,"The pollen is derived from a podocarp/broadleaved forest, which probably. covered both the alluvial flats and sides of the valley.",train
The breakthrough came after the <e1>news</e1> that a <e2>sheep</e2> named Dolly was born as the first cloned mammal.,"Message-Topic (e1, e2)",14,news,sheep,The breakthrough came after the news that a sheep named Dolly was born as the first cloned mammal.,train
Two million <e1>dollars</e1> are given to the <e2>winner</e2> of the contest.,"Entity-Destination (e1, e2)",6,dollars,winner,Two million dollars are given to the winner of the contest.,train
"I am a semi-professional myself and I also have a small <e1>hug</e1> of <e2>teddy bears</e2>, but the photos that Marc Hoberman made of these bears are really fantastic.","Member-Collection (e2, e1)",13,hug,teddy bears,"I am a semi-professional myself and I also have a small hug of teddy bears, but the photos that Marc Hoberman made of these bears are really fantastic.",train
The <e1>plane</e1> went away from the <e2>runway</e2> and burst into flames.,"Entity-Origin (e1, e2)",8,plane,runway,The plane went away from the runway and burst into flames.,train
"The <e1>user</e1> is cooling a processor with a power <e2>usage</e2> of 35W, using a conventional heatsink.",Other,18,user,usage,"The user is cooling a processor with a power usage of 35W, using a conventional heatsink.",train
The major <e1>population</e1> constitutes of <e2>farmers</e2> and agriculture related business men and merchants.,"Member-Collection (e2, e1)",13,population,farmers,The major population constitutes of farmers and agriculture related business men and merchants.,train
"In the <e1>branch</e1> of the <e2>tree</e2> which bends towards Christ, a bird feeds her chicks.","Component-Whole (e1, e2)",2,branch,tree,"In the branch of the tree which bends towards Christ, a bird feeds her chicks.",train
I kept my mobile (cellphone) in the same <e1>pocket</e1> in my <e2>trousers</e2> (pants).,"Component-Whole (e1, e2)",2,pocket,trousers,I kept my mobile (cellphone) in the same pocket in my trousers (pants).,train
"I make this all the time and replicated a similar <e1>recipe</e1> from a wonderful wonderful <e2>restaurant</e2> in Paducah, KY.","Entity-Origin (e1, e2)",8,recipe,restaurant,"I make this all the time and replicated a similar recipe from a wonderful wonderful restaurant in Paducah, KY.",train
"Church Orchard is a mixed <e1>orchard</e1> of standard <e2>apples</e2>, pears and damsons and Mason's and Winslow's are standard cider apple orchards.","Member-Collection (e2, e1)",13,orchard,apples,"Church Orchard is a mixed orchard of standard apples, pears and damsons and Mason's and Winslow's are standard cider apple orchards.",train
That's more or less how the <e1>book</e1>'s <e2>author</e2> is viewing the situation.,"Product-Producer (e1, e2)",16,book,author,That's more or less how the book's author is viewing the situation.,train
The <e1>water</e1> was distilled from an alkaline permanganate <e2>solution</e2> in an all Pyrex still.,"Entity-Origin (e1, e2)",8,water,solution,The water was distilled from an alkaline permanganate solution in an all Pyrex still.,train
A <e1>man</e1> who leapt from a brothel <e2>window</e2> during an immigration raid filmed for reality television later died.,"Entity-Origin (e1, e2)",8,man,window,A man who leapt from a brothel window during an immigration raid filmed for reality television later died.,train
The <e1>dog</e1> was in a <e2>crate</e2> 0.2 cubic inches too small.,"Content-Container (e1, e2)",4,dog,crate,The dog was in a crate 0.2 cubic inches too small.,train
The findings clearly show a high level of <e1>satisfaction</e1> from <e2>customers</e2> using new cutting-edge retail technology that has led to higher sales.,Other,18,satisfaction,customers,The findings clearly show a high level of satisfaction from customers using new cutting-edge retail technology that has led to higher sales.,train
"A state <e1>church</e1> is created by the <e2>state</e2>, as in the cases of the Anglican Church, created by Henry VIII.","Product-Producer (e1, e2)",16,church,state,"A state church is created by the state, as in the cases of the Anglican Church, created by Henry VIII.",train
It is currently a <e1>cabinet</e1> <e2>maker</e2>'s workshop.,"Product-Producer (e1, e2)",16,cabinet,maker,It is currently a cabinet maker's workshop.,train
"There are four locations of this restaurant, owned by the Buckley <e1>company</e1> of Dublin <e2>butchers</e2>.",Other,18,company,butchers,"There are four locations of this restaurant, owned by the Buckley company of Dublin butchers.",train
I love the sweet and salty <e1>combo</e1> of the watermelon <e2>salads</e2> that have been all over the food world lately.,Other,18,combo,salads,I love the sweet and salty combo of the watermelon salads that have been all over the food world lately.,train
"Riviera holiday <e1>club</e1> consists of few <e2>hotels</e2> (look on the left part of the page) which are located on the beach, in a nice and quite park.","Member-Collection (e2, e1)",13,club,hotels,"Riviera holiday club consists of few hotels (look on the left part of the page) which are located on the beach, in a nice and quite park.",train
A <e1>family</e1> was evacuated from their <e2>home</e2> near the north Canterbury township of Waiau when the Waiau River flooded overnight.,"Entity-Origin (e1, e2)",8,family,home,A family was evacuated from their home near the north Canterbury township of Waiau when the Waiau River flooded overnight.,train
"A sensible, rational person reads a <e1>book</e1> written by a show-offy irrational <e2>intellectual</e2> and doesn't like the book.","Product-Producer (e1, e2)",16,book,intellectual,"A sensible, rational person reads a book written by a show-offy irrational intellectual and doesn't like the book.",train
A <e1>humidifier</e1> keeps the <e2>greenhouse</e2> between 47 and 58 percent humidity.,"Component-Whole (e1, e2)",2,humidifier,greenhouse,A humidifier keeps the greenhouse between 47 and 58 percent humidity.,train
One man pours on a liquid while the other <e1>man</e1> stirs the mixture with a wooden <e2>paddle</e2> or spatula.,"Instrument-Agency (e2, e1)",11,man,paddle,One man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula.,train
<e1>Mobile</e1> lost in the ocean was found in a cod <e2>belly</e2>.,"Content-Container (e1, e2)",4,Mobile,belly,Mobile lost in the ocean was found in a cod belly.,train
An <e1>accident</e1> has been caused by the <e2>fog</e2>.,"Cause-Effect (e2, e1)",1,accident,fog,An accident has been caused by the fog.,train
"The <e1>manor</e1> had <e2>lands</e2> in Old Thame, Moreton and North Weston and property in New Thame.",Other,18,manor,lands,"The manor had lands in Old Thame, Moreton and North Weston and property in New Thame.",train
"They signed him up and sent him to Dakar, to a <e1>regiment</e1> of Senegalese <e2>infantrymen</e2> that was leaving for Verdun in 1917.","Member-Collection (e2, e1)",13,regiment,infantrymen,"They signed him up and sent him to Dakar, to a regiment of Senegalese infantrymen that was leaving for Verdun in 1917.",train
We saved the <e1>planet</e1> from the imperialist <e2>threat</e2>.,Other,18,planet,threat,We saved the planet from the imperialist threat.,train
The <e1>factory</e1>'s <e2>workshop</e2> functioned inside an extension which was bigger than the actual residence.,"Component-Whole (e2, e1)",3,factory,workshop,The factory's workshop functioned inside an extension which was bigger than the actual residence.,train
"Using her tail, the <e1>female</e1> digs a trough-shaped <e2>nest</e2>, called a redd (Scandinavian word for ""nest""), in the gravel of the stream bed.","Product-Producer (e2, e1)",17,female,nest,"Using her tail, the female digs a trough-shaped nest, called a redd (Scandinavian word for ""nest""), in the gravel of the stream bed.",train
The <e1>artists</e1> carve away the surface with a <e2>chisel</e2>.,"Instrument-Agency (e2, e1)",11,artists,chisel,The artists carve away the surface with a chisel.,train
The following <e1>remarks</e1> have special reference to the <e2>results</e2> obtained in the human lung.,"Message-Topic (e1, e2)",14,remarks,results,The following remarks have special reference to the results obtained in the human lung.,train
This is a tutorial on how to fix a mighty <e1>mouse</e1> 's <e2>scroll ball</e2>.,"Component-Whole (e2, e1)",3,mouse,scroll ball,This is a tutorial on how to fix a mighty mouse 's scroll ball.,train
"The severe <e1>recession</e1> triggered by the global <e2>crisis</e2> has bottomed out, thanks in part to a rebound in exports, although production remains the same.","Cause-Effect (e2, e1)",1,recession,crisis,"The severe recession triggered by the global crisis has bottomed out, thanks in part to a rebound in exports, although production remains the same.",train
"Thus, the interpretation of a <e1>battery</e1> of psychological <e2>tests</e2> depends on who does the interpreting.","Member-Collection (e2, e1)",13,battery,tests,"Thus, the interpretation of a battery of psychological tests depends on who does the interpreting.",train
The <e1>committee</e1> is approaching the final <e2>decision</e2>.,Other,18,committee,decision,The committee is approaching the final decision.,train
I quickly glanced around to see if the tow crew was near yet and then kissed the <e1>rim</e1> of the <e2>cockpit</e2>.,"Component-Whole (e1, e2)",2,rim,cockpit,I quickly glanced around to see if the tow crew was near yet and then kissed the rim of the cockpit.,train
"The immediate, down-to-earth <e1>impact</e1> of the poem is established in the first two <e2>lines</e2>.",Other,18,impact,lines,"The immediate, down-to-earth impact of the poem is established in the first two lines.",train
A <e1>sample</e1> was sealed in a <e2>polyethylene bag</e2> and irradiated together with cobalt as a neutron flux determinant.,"Content-Container (e1, e2)",4,sample,polyethylene bag,A sample was sealed in a polyethylene bag and irradiated together with cobalt as a neutron flux determinant.,train
"In converting a tree into thick planks, the <e1>saw</e1> causes a <e2>waste</e2> of a very small fractional part.",Other,18,saw,waste,"In converting a tree into thick planks, the saw causes a waste of a very small fractional part.",train
Along the way she presents <e1>anecdotes</e1> illustrating basic business <e2>principles</e2>.,"Message-Topic (e1, e2)",14,anecdotes,principles,Along the way she presents anecdotes illustrating basic business principles.,train
The <e1>ancients</e1> cultivated the <e2>species</e2> Heracleum Sphondylium which is the parsnip a similar plant to carrots.,Other,18,ancients,species,The ancients cultivated the species Heracleum Sphondylium which is the parsnip a similar plant to carrots.,train
The height-time profiles revealed that the <e1>downflow</e1> started at <e2>times</e2> of the deceleration phase of the CME core.,Other,18,downflow,times,The height-time profiles revealed that the downflow started at times of the deceleration phase of the CME core.,train
Internal <e1>emails</e1> have been leaked to the public <e2>broadcasting</e2>.,Other,18,emails,broadcasting,Internal emails have been leaked to the public broadcasting.,train
The <e1>electrician</e1> carries out audibility <e2>checks</e2> throughout the building during the drill.,Other,18,electrician,checks,The electrician carries out audibility checks throughout the building during the drill.,train
The scientists used nanotubes to send <e1>signals</e1> to the <e2>nerve cells</e2>.,"Entity-Destination (e1, e2)",6,signals,nerve cells,The scientists used nanotubes to send signals to the nerve cells.,train
The spiral <e1>light</e1> was caused by the <e2>missile</e2>.,"Cause-Effect (e2, e1)",1,light,missile,The spiral light was caused by the missile.,train
"An old lady was standing at the <e1>railing</e1> of the cruise <e2>ship</e2> holding her hat on tight, so that it would not blow off in the wind.","Component-Whole (e1, e2)",2,railing,ship,"An old lady was standing at the railing of the cruise ship holding her hat on tight, so that it would not blow off in the wind.",train
The workers locked themselves in the upstairs office and left the shocked <e1>managers</e1> downstairs in the <e2>shop</e2>.,Other,18,managers,shop,The workers locked themselves in the upstairs office and left the shocked managers downstairs in the shop.,train
A great ensemble <e1>cast</e1> of likeable young <e2>actors</e2> makes this a joy to watch.,"Member-Collection (e2, e1)",13,cast,actors,A great ensemble cast of likeable young actors makes this a joy to watch.,train
"<e1>Rye</e1> <e2>flour</e2> was found to contain only one glutelin, which separated at 3 per cent of saturation with ammonium sulfate.","Entity-Origin (e2, e1)",9,Rye,flour,"Rye flour was found to contain only one glutelin, which separated at 3 per cent of saturation with ammonium sulfate.",train
"The resulting anti-social <e1>behaviour</e1> from alcohol <e2>consumption</e2> is an on-going matter that the town and the police continue to address, particularly in the summer months.","Cause-Effect (e2, e1)",1,behaviour,consumption,"The resulting anti-social behaviour from alcohol consumption is an on-going matter that the town and the police continue to address, particularly in the summer months.",train
"Like a <e1>battalion</e1> of medieval <e2>archers</e2>, these plasma cells let fly their antibodies, which travel to their targets on the outer surface of harmful bacteria.","Member-Collection (e2, e1)",13,battalion,archers,"Like a battalion of medieval archers, these plasma cells let fly their antibodies, which travel to their targets on the outer surface of harmful bacteria.",train
From the Pulitzer Prize-winning <e1>author</e1> of March comes this <e2>novel</e2> - inspired by a true story - that traces the journey of a rare illuminated manuscript through centuries of exile and war.,"Product-Producer (e2, e1)",17,author,novel,From the Pulitzer Prize-winning author of March comes this novel - inspired by a true story - that traces the journey of a rare illuminated manuscript through centuries of exile and war.,train
"<e1>Brutality</e1> was an intrinsic part of <e2>plantation life</e2> and no child, however privileged or protected, could escape its ugliness or it savagery.",Other,18,Brutality,plantation life,"Brutality was an intrinsic part of plantation life and no child, however privileged or protected, could escape its ugliness or it savagery.",train
"The <e1>crust</e1> of the <e2>earth</e2> is composed of a great variety of igneous, metamorphic, and sedimentary rocks.","Component-Whole (e1, e2)",2,crust,earth,"The crust of the earth is composed of a great variety of igneous, metamorphic, and sedimentary rocks.",train
"<e1>Tofu</e1> (to-fu), or bean curd is a soft white food made by coagulating soy <e2>milk</e2>.","Entity-Origin (e1, e2)",8,Tofu,milk,"Tofu (to-fu), or bean curd is a soft white food made by coagulating soy milk.",train
All 1000 lemote <e1>boxes</e1> have been delivered to the <e2>users</e2>.,"Entity-Destination (e1, e2)",6,boxes,users,All 1000 lemote boxes have been delivered to the users.,train
"This was a <e1>sounder</e1> of fifteen <e2>swine</e2>, led by an enormous white pig, the size of a cow.","Member-Collection (e2, e1)",13,sounder,swine,"This was a sounder of fifteen swine, led by an enormous white pig, the size of a cow.",train
"The <e1>crane</e1> <e2>arm</e2> raises, swivels, and extends to a maximum length of 11"" inches, just like our own Poe Ghostal.","Component-Whole (e2, e1)",3,crane,arm,"The crane arm raises, swivels, and extends to a maximum length of 11"" inches, just like our own Poe Ghostal.",train
"The <e1>micropump</e1> is fabricated by the <e2>anisotropic etching</e2>, the boron diffusion and the metal evaporation.",Other,18,micropump,anisotropic etching,"The micropump is fabricated by the anisotropic etching, the boron diffusion and the metal evaporation.",train
The chemical <e1>reaction</e1> in the water caused a bubbling <e2>affect</e2> on the surface.,"Cause-Effect (e1, e2)",0,reaction,affect,The chemical reaction in the water caused a bubbling affect on the surface.,train
Bollywood stunner Koena Mitra sashayed down the ramp in a stunning <e1>creation</e1> by the <e2>designer</e2>.,"Product-Producer (e1, e2)",16,creation,designer,Bollywood stunner Koena Mitra sashayed down the ramp in a stunning creation by the designer.,train
The <e1>pain</e1> of loneliness is another theme of the <e2>book</e2>.,"Message-Topic (e2, e1)",15,pain,book,The pain of loneliness is another theme of the book.,train
"The <e1>meeting</e1> was opened by the <e2>welcome speech</e2> of the Mayor of Komotini, Mr. Dimitrios. Kotsakis.","Component-Whole (e2, e1)",3,meeting,welcome speech,"The meeting was opened by the welcome speech of the Mayor of Komotini, Mr. Dimitrios. Kotsakis.",train
"The <e1>benefits</e1> from <e2>inflation</e2> which Professor Mulligan cites (e.g., bailing out underwater mortgagers) are better understood as a government sponsored transfer of wealth from savers to speculators.","Cause-Effect (e2, e1)",1,benefits,inflation,"The benefits from inflation which Professor Mulligan cites (e.g., bailing out underwater mortgagers) are better understood as a government sponsored transfer of wealth from savers to speculators.",train
A variety of <e1>companies</e1> manufacture boPET and other polyester <e2>films</e2> under different trade names.,"Product-Producer (e2, e1)",17,companies,films,A variety of companies manufacture boPET and other polyester films under different trade names.,train
The <e1>byelection</e1> was caused by the <e2>resignation</e2> of Boris Johnson following his election as mayor of London in May.,"Cause-Effect (e2, e1)",1,byelection,resignation,The byelection was caused by the resignation of Boris Johnson following his election as mayor of London in May.,train
I even have a <e1>friend</e1> who cooks the cans in a pressure <e2>cooker</e2> because she can't be bothered cooking them on the stove for 3 hours.,"Instrument-Agency (e2, e1)",11,friend,cooker,I even have a friend who cooks the cans in a pressure cooker because she can't be bothered cooking them on the stove for 3 hours.,train
"I'm looking at one right now and he appears to be very content, despite the fact that he's trying to sleep in a <e1>kitchen</e1> that contains a noisy <e2>boiler</e2>.","Component-Whole (e2, e1)",3,kitchen,boiler,"I'm looking at one right now and he appears to be very content, despite the fact that he's trying to sleep in a kitchen that contains a noisy boiler.",train
The period of tumor <e1>shrinkage</e1> after radiation <e2>therapy</e2> is often long and varied (mean 29 months).,"Cause-Effect (e2, e1)",1,shrinkage,therapy,The period of tumor shrinkage after radiation therapy is often long and varied (mean 29 months).,train
<e1>Investment</e1> flows into emerging <e2>markets</e2>.,"Entity-Destination (e1, e2)",6,Investment,markets,Investment flows into emerging markets.,train
"The turbines are making an electricity <e1>system</e1> with low <e2>carbon</e2> emissions even greener - already, in Seattle, more than 90 percent of the power comes from renewable sources.",Other,18,system,carbon,"The turbines are making an electricity system with low carbon emissions even greener - already, in Seattle, more than 90 percent of the power comes from renewable sources.",train
The concepts of <e1>psychoanalysis</e1> have been applied to <e2>films</e2> in various ways.,Other,18,psychoanalysis,films,The concepts of psychoanalysis have been applied to films in various ways.,train
Each airsoft pistol has a separate magazine for the bbs which is normally stored in the <e1>handgrip</e1> of the <e2>gun</e2> (just like the real thing).,"Component-Whole (e1, e2)",2,handgrip,gun,Each airsoft pistol has a separate magazine for the bbs which is normally stored in the handgrip of the gun (just like the real thing).,train
"Besieged by questions, the <e1>girl</e1> started a <e2>blog</e2> to defend herself, and to capitalise on her newfound fame.","Product-Producer (e2, e1)",17,girl,blog,"Besieged by questions, the girl started a blog to defend herself, and to capitalise on her newfound fame.",train
"Among the contents of the <e1>vessel</e1> were a set of carpenter's <e2>tools</e2>, several large storage jars, ceramic utensils, ropes and remnants of food, as well as a heavy load of ballast stones.","Content-Container (e2, e1)",5,vessel,tools,"Among the contents of the vessel were a set of carpenter's tools, several large storage jars, ceramic utensils, ropes and remnants of food, as well as a heavy load of ballast stones.",train
"Brushing the air with both hands and <e1>coughing</e1> from the <e2>dust</e2>, it settled on both vehicles.","Cause-Effect (e2, e1)",1,coughing,dust,"Brushing the air with both hands and coughing from the dust, it settled on both vehicles.",train
"Swype -- founded by the Cliff Kushler, the <e1>inventor</e1> of the T9 text input <e2>technology</e2> -- raised $1.3 million earlier this year.",Other,18,inventor,technology,"Swype -- founded by the Cliff Kushler, the inventor of the T9 text input technology -- raised $1.3 million earlier this year.",train
Once he dangled his <e1>axe</e1> by the <e2>helve</e2> to sight along the tree trunk.,"Component-Whole (e2, e1)",3,axe,helve,Once he dangled his axe by the helve to sight along the tree trunk.,train
The <e1>presentation</e1> generated <e2>debate</e2> and there was general discussion on how journalists can better equip themselves to handle the challenges.,"Cause-Effect (e1, e2)",0,presentation,debate,The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges.,train
The <e1>police</e1> <e2>report</e2> has cast a spotlight on America's self-help industry.,"Product-Producer (e2, e1)",17,police,report,The police report has cast a spotlight on America's self-help industry.,train
"Usman was made to dig one place for a foot or so, while the <e1>priest</e1> searched the earth with his <e2>fingers</e2>: The charm did not appear.","Component-Whole (e2, e1)",3,priest,fingers,"Usman was made to dig one place for a foot or so, while the priest searched the earth with his fingers: The charm did not appear.",train
An Italian <e1>craftsman</e1> has created the world's smallest nativity <e2>scene</e2> - on the head of a pin.,"Product-Producer (e2, e1)",17,craftsman,scene,An Italian craftsman has created the world's smallest nativity scene - on the head of a pin.,train
Although the guards searched his car and opened a <e1>suitcase</e1> with <e2>tracts</e2> in it they did not notice the illegal materials.,"Content-Container (e2, e1)",5,suitcase,tracts,Although the guards searched his car and opened a suitcase with tracts in it they did not notice the illegal materials.,train
"It is a fairy <e1>story</e1> depicting the incredible <e2>ugliness</e2> of human sin, misery, and futility, yet also the incredible and beautiful power of love.","Message-Topic (e1, e2)",14,story,ugliness,"It is a fairy story depicting the incredible ugliness of human sin, misery, and futility, yet also the incredible and beautiful power of love.",train
The resulting <e1>shockwaves</e1> produced the metal-forming <e2>conditions</e2> for periods of 100-200 ns.,"Cause-Effect (e1, e2)",0,shockwaves,conditions,The resulting shockwaves produced the metal-forming conditions for periods of 100-200 ns.,train
He zeroed in on the metal button in the <e1>fly</e1> of my <e2>jeans</e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector.,"Component-Whole (e1, e2)",2,fly,jeans,He zeroed in on the metal button in the fly of my jeans as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector.,train
The <e1>painting</e1> was in a <e2>trunk</e2> next to the bed.,"Content-Container (e1, e2)",4,painting,trunk,The painting was in a trunk next to the bed.,train
The <e1>method</e1> includes the <e2>formation</e2> of a two-layer semifmished product with a low-melting surface layer and simering combined with impregnation.,"Component-Whole (e2, e1)",3,method,formation,The method includes the formation of a two-layer semifmished product with a low-melting surface layer and simering combined with impregnation.,train
"In 1882 Louis developed a method of making photographic plates, and by 1894 the brothers' <e1>factory</e1> was producing 15 million <e2>plates</e2> a year.","Product-Producer (e2, e1)",17,factory,plates,"In 1882 Louis developed a method of making photographic plates, and by 1894 the brothers' factory was producing 15 million plates a year.",train
"The <e1>pepper</e1> was in a <e2>bottle</e2>, and the roll of butter was made around it.","Content-Container (e1, e2)",4,pepper,bottle,"The pepper was in a bottle, and the roll of butter was made around it.",train
<e1>Electromagnets</e1> have come into <e2>use</e2>.,Other,18,Electromagnets,use,Electromagnets have come into use.,train
The website cited <e1>notes</e1> made by an <e2>investigator</e2> from the Los Angeles County Coroner's office as the source of the information.,"Product-Producer (e1, e2)",16,notes,investigator,The website cited notes made by an investigator from the Los Angeles County Coroner's office as the source of the information.,train
"Indeed, a green or black basalt heart <e1>scarab</e1> was found put inside the <e2>body</e2> in its place.","Content-Container (e1, e2)",4,scarab,body,"Indeed, a green or black basalt heart scarab was found put inside the body in its place.",train
Britain's oldest surviving human <e1>brain</e1> was discovered inside a decapitated <e2>skull</e2> placed in a small pit near York.,"Content-Container (e1, e2)",4,brain,skull,Britain's oldest surviving human brain was discovered inside a decapitated skull placed in a small pit near York.,train
"<e1>Mosquitoes</e1> are spreading into new <e2>places</e2>, bringing malaria and dengue fever with them.","Entity-Destination (e1, e2)",6,Mosquitoes,places,"Mosquitoes are spreading into new places, bringing malaria and dengue fever with them.",train
"The themes of <e1>sex</e1>, death and growing older are explored in new <e2>works</e2> by poet Mark Doty.","Message-Topic (e2, e1)",15,sex,works,"The themes of sex, death and growing older are explored in new works by poet Mark Doty.",train
"The temporomandibular joints are the two <e1>jaw</e1> <e2>joints</e2>, one at each side of the face.","Component-Whole (e2, e1)",3,jaw,joints,"The temporomandibular joints are the two jaw joints, one at each side of the face.",train
The <e1>infant</e1> was born in a <e2>condition</e2> of shock and died in ten minutes.,Other,18,infant,condition,The infant was born in a condition of shock and died in ten minutes.,train
Las Nubes Coffee is produced by a <e1>cooperative</e1> of small <e2>farmers</e2> in southern Costa Rica as part of the Las Nubes Research and Conservation Program of the Faculty of Environmental Studies of York University.,"Member-Collection (e2, e1)",13,cooperative,farmers,Las Nubes Coffee is produced by a cooperative of small farmers in southern Costa Rica as part of the Las Nubes Research and Conservation Program of the Faculty of Environmental Studies of York University.,train
These <e1>piezos</e1> have 2.5 inch pretinned lead <e2>wires</e2> solidly attached with solder joins protected by a dab of silicone.,"Component-Whole (e2, e1)",3,piezos,wires,These piezos have 2.5 inch pretinned lead wires solidly attached with solder joins protected by a dab of silicone.,train
<e1>Bounding pulses</e1> are caused by the relatively low systemic <e2>arterial blood pressure</e2> due to the continuous runoff of blood from the aorta into the pulmonary artery.,"Cause-Effect (e2, e1)",1,Bounding pulses,arterial blood pressure,Bounding pulses are caused by the relatively low systemic arterial blood pressure due to the continuous runoff of blood from the aorta into the pulmonary artery.,train
But researchers have now learnt how <e1>molecules</e1> at the site of the <e2>synapse</e2> behave to cement a memory.,"Component-Whole (e1, e2)",2,molecules,synapse,But researchers have now learnt how molecules at the site of the synapse behave to cement a memory.,train
The biggest political sex <e1>scandal</e1> came from a <e2>democrat</e2>.,"Entity-Origin (e1, e2)",8,scandal,democrat,The biggest political sex scandal came from a democrat.,train
The calls of his caged decoy-birds have announced the arrival and passing over of a <e1>parcel</e1> of <e2>linnets</e2>.,"Member-Collection (e2, e1)",13,parcel,linnets,The calls of his caged decoy-birds have announced the arrival and passing over of a parcel of linnets.,train
"Also, every <e1>employee</e1> who is a participant in the <e2>trust</e2> automatically has a beneficial interest in the ownership of the agency.",Other,18,employee,trust,"Also, every employee who is a participant in the trust automatically has a beneficial interest in the ownership of the agency.",train
Waves and <e1>coastal</e1> <e2>erosion</e2> is a good general discussion of these subjects.,Other,18,coastal,erosion,Waves and coastal erosion is a good general discussion of these subjects.,train
"Then, we placed a bread <e1>slice</e1> into the heatproof baking <e2>dish</e2>.","Entity-Destination (e1, e2)",6,slice,dish,"Then, we placed a bread slice into the heatproof baking dish.",train
The margarine is <e1>imitation</e1> <e2>butter</e2> was without the superior flavor and pleasant mouthfeel.,Other,18,imitation,butter,The margarine is imitation butter was without the superior flavor and pleasant mouthfeel.,train
